# Written by the BoltzWann module of the Wannier90 code.
# [Electrical conductivity in SI units, i.e. in 1/Ohm/m]
# Mu(eV) Temp(K) ElCond_xx ElCond_xy ElCond_yy ElCond_xz ElCond_yz ElCond_zz
   8.28160000      0.100000001      0.302355945      -1.29478387E-04  0.332078755      -4.71404965E-05   1.17437662E-06   3.39067504E-02
   8.28160000       50.0999985       1053701.62      -42.4645119       1188297.62      -167.816116       12.1666813       117972.578    
   8.28160000       100.099998       1101382.62     -0.308753550       1200555.38      -172.251740       13.9394379       118169.172    
   8.28160000       150.100006       1132213.88       2.28872395       1198759.50      -173.641556       14.3666754       118269.242    
   8.28160000       200.100006       1146072.62       3.14476991       1195175.25      -172.968872       14.0562830       118330.359    
   8.28160000       250.100006       1151573.12       4.10250044       1190510.75      -171.115829       13.3982906       118393.523    
   8.28160000       300.100006       1153795.25       5.20046854       1184784.62      -168.286270       12.6411476       118454.797    
   8.78160000      0.100000001       6.62952140E-02   1.04071696E-04   6.11968935E-02   1.70089916E-05  -2.48472793E-06   4.50777542E-03
   8.78160000       50.0999985       220758.500       17.6205578       216614.484       68.0431290      -11.7052488       15771.4238    
   8.78160000       100.099998       225635.750       11.5835590       217399.953       68.7590866      -9.59707928       15857.2646    
   8.78160000       150.100006       228870.094       11.0440245       219224.000       68.6209106      -6.14705038       15915.1162    
   8.78160000       200.100006       233071.469       10.4685221       221992.016       68.2195969      -2.66809845       15945.1270    
   8.78160000       250.100006       239409.516       10.0631409       225541.875       67.3334122      0.356806755       15956.6240    
   8.78160000       300.100006       247750.562       9.78252506       229740.609       65.9566345       2.82786274       15968.2881    
   9.28160000      0.100000001      0.564168930       2.08568745E-05   9.30337012E-02  -2.24615978E-05   6.55219355E-06   1.14857983E-02
   9.28160000       50.0999985       2266224.50      -67.2917328       318731.344      -68.5576172       27.9533634       39535.3477    
   9.28160000       100.099998       2286503.00      -59.0724068       316337.500      -61.4186211       28.6962070       39109.9062    
   9.28160000       150.100006       2232131.75      -51.1511230       313735.375      -60.1104813       29.2646255       38926.0273    
   9.28160000       200.100006       2194334.00      -46.1642570       310976.625      -62.7108116       30.7100143       38963.7031    
   9.28160000       250.100006       2170816.75      -42.9502716       308491.312      -65.8817596       32.3505898       39114.7344    
   9.28160000       300.100006       2154043.25      -40.7755318       306492.438      -68.0083008       33.7360802       39301.7422    
   9.78160000      0.100000001      0.440355599       1.01374535E-04  0.153259665       1.59885640E-05   5.60118906E-06   4.24881559E-03
   9.78160000       50.0999985       1561578.12       72.7536926       581313.750       52.3372574       29.4159718       14348.0664    
   9.78160000       100.099998       1580572.25       29.2985973       588516.125       48.1567307       36.0978928       13967.6035    
   9.78160000       150.100006       1596505.00       26.4968185       588185.250       45.9732628       36.9211502       13905.4277    
   9.78160000       200.100006       1605263.62       26.5046024       587477.875       44.8962135       36.2352371       13961.7666    
   9.78160000       250.100006       1610253.38       26.6328850       586619.875       43.9440956       35.3412590       14066.4648    
   9.78160000       300.100006       1613990.38       26.7651024       585565.750       42.8199272       34.5228119       14205.9971    
   10.2816000      0.100000001      0.118336812      -3.19081596E-06   2.76024640E-02   7.18167939E-05   3.02443023E-05   4.04964387E-02
   10.2816000       50.0999985       417797.062      -12.4888687       96671.1562       137.062897       103.756828       140509.844    
   10.2816000       100.099998       423652.938      -13.6637993       104476.008       123.805359       109.691345       139751.469    
   10.2816000       150.100006       433164.219      -12.7136908       114242.281       120.055107       115.633476       139383.719    
   10.2816000       200.100006       445293.875      -13.0411272       124864.594       120.179482       119.935860       139695.984    
   10.2816000       250.100006       459407.656      -14.2509212       135655.281       121.144356       122.282112       140489.359    
   10.2816000       300.100006       474851.969      -15.7029543       146254.844       121.171928       123.070023       141515.641    
   10.7816000      0.100000001      0.554830790       3.15283214E-05  0.123483241       7.08274485E-04   1.61106091E-05   7.14569241E-02
   10.7816000       50.0999985       1900251.62       286.067261       425393.281       2435.03687       67.8752670       248728.625    
   10.7816000       100.099998       1861175.12       262.189056       426326.438       2619.12012       76.1082764       249359.406    
   10.7816000       150.100006       1832627.62       233.041763       427420.500       2718.85962       64.9215393       249363.641    
   10.7816000       200.100006       1802560.00       208.373718       427716.469       2691.39600       44.6365204       248427.672    
   10.7816000       250.100006       1768919.00       188.548172       427088.312       2583.00537       23.8675003       246713.359    
   10.7816000       300.100006       1733128.25       172.773804       425730.938       2439.58569       6.22911692       244511.703    
   11.2816000      0.100000001      0.514396250      -3.76859971E-04  0.129692718      -3.35496967E-04   4.33121568E-05   5.92636652E-02
   11.2816000       50.0999985       1730024.62      -96.3048630       465588.188      -1072.30371       147.179031       203995.469    
   11.2816000       100.099998       1685316.12      -75.4789124       469248.594      -1089.43945       138.026794       203736.984    
   11.2816000       150.100006       1672766.88      -72.1751099       474351.281      -1147.95483       129.429382       205392.953    
   11.2816000       200.100006       1671491.75      -66.6410065       480733.688      -1202.40906       122.292778       207450.469    
   11.2816000       250.100006       1674428.25      -58.0654488       487407.219      -1235.71252       116.597076       209091.672    
   11.2816000       300.100006       1679064.12      -47.5041428       493697.062      -1245.39880       111.521797       210018.547    
